image_path,label,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10,angle_11,angle_12,angle_13,angle_14,angle_15,angle_16,angle_17,angle_18,angle_19,angle_20,angle_21,angle_22,angle_23,angle_24,angle_25,angle_26,angle_27,angle_28,angle_29,angle_30,angle_31,angle_32
dataset/train\downdog\00000128.jpg,downdog,2.8544197477166033,116.702482290165,177.63318119142704,168.0980646995658,110.96515595213832,173.73397199973905,168.71623193838454,,,,,125.89718571589991,49.9498991922728,166.54361769560762,169.53221936866925,145.88766985167246,152.1082680762942,122.18700593674087,171.8377850311982,47.704495679937,7.103872597676859,,,47.456516873486265,132.63448953293565,176.39966904977507,175.77563075255014,146.2373255912591,153.7705183468265,66.56724590997644,59.169048071466925,23.779089041982104,29.366015896008903
dataset/train\downdog\00000129.jpg,downdog,0.4104689824484487,141.96170989675628,178.81828277322646,166.13356207830674,146.17067691640136,179.24298444775113,161.71793671136015,,,,,130.32649447236963,42.10688601115584,168.4434302158985,174.5015822418369,156.9222604771009,172.99145572465025,119.31904332292919,96.52455145755268,49.50071157473879,76.73697985228267,,,76.06546888262223,104.27953491133927,177.89666429861097,179.55098410309463,160.65040514294313,166.69620615421715,68.96102647414283,71.22104206255044,24.585036721791848,27.903291311942564
dataset/train\downdog\00000130.jpg,downdog,1.1544642581806048,128.402547947989,174.58973122738584,159.9252650217264,132.42271267997523,175.05230550155287,152.06158337573387,,,,,144.21359623327425,34.56144957266172,170.82432388385777,170.83643733366515,148.307598086598,154.28227850904645,100.58124468968876,142.2163462014424,68.8519099604553,36.49390437958769,,,1.0998540022984287,179.37188180248563,139.08528680552382,140.5277692949417,172.85917959380492,175.76651832481033,67.28243171960517,75.81875254356517,20.564354514470452,21.867406612346116
dataset/train\downdog\00000131.jpg,downdog,4.7877296906184,129.9564428543617,73.0317035235052,117.80755061898437,112.61871354821608,173.78475535434941,162.96019775894212,,,,,79.74719538474206,115.34589651445775,173.7259393197175,160.29824884511677,164.52271838863987,168.36248774452196,104.75245843762568,171.516504669783,58.71254660959885,7.262881322612375,,,45.92168304858051,136.43940883880992,164.06392710681573,175.5428757154356,169.3778588366877,159.1341010325992,130.81435070883632,110.79075500524435,15.67936194065686,19.128280775359396
dataset/train\downdog\00000132.png,downdog,14.434846045433801,108.62531840023331,172.58888128618722,159.91436810231497,107.3581405198728,178.6464589974257,169.99439486437916,,,,,34.366386962095554,146.64158100494686,171.73985324381306,171.5090696993891,158.74868659733977,158.6719683907848,166.3129985471568,58.33393331913683,12.122399465044891,101.12065646644562,,,178.41292726386163,0.5308504270653408,178.92289792988697,177.10858834901143,176.74956174125728,172.46286292003492,96.860406597733,87.50943338219342,39.7342302223103,29.89304688467597
dataset/train\downdog\00000133.jpg,downdog,1.8402382008152602,107.02068338233406,173.71265912948297,158.64889549941466,102.1078010129192,177.0174604023225,161.8651380001244,,,,,151.2183015189343,27.819192324936964,172.64602389942925,170.7152299883696,170.61456985405815,157.9750049972551,78.75706765903875,151.65388647460568,83.93941296603201,26.549785527478967,,,70.95685137352429,108.49498618352787,179.9486183829371,178.9401428663882,156.44319188550728,166.73654877610986,80.26834628827726,96.47515094327733,24.70714360949959,24.74241245597737
dataset/train\downdog\00000134.jpg,downdog,1.7933159654253013,124.74996892252291,177.06057238614608,160.01121232027415,126.13805883261647,176.93482075532737,157.17843121569464,,,,,156.82752503593812,25.916465639534913,165.5363713715212,164.25442886053256,167.4760817673396,156.72552285173774,94.31643091277768,170.3798383006233,58.00178821932524,7.722457741762422,,,41.64876629245444,137.0332763623867,175.67809724202945,176.40858544840654,146.39200840257146,141.79184927161057,72.79330628747735,63.042600691297004,15.180768718038179,22.14443879362049
dataset/train\downdog\00000137.jpg,downdog,5.909819542702426,105.38628825265727,175.9320070423883,164.5506806852861,108.35529289350404,178.41352504599743,150.72892865205895,,,,,62.29382270904249,125.0033027262499,172.5641503013888,171.5911652373652,147.99403486836655,143.23880050823396,108.04106026894918,123.57773542014914,59.08925587437712,23.876705145874148,,,36.055904340190416,145.2748267030191,176.8920278769097,172.33502519728106,171.27664615232763,173.40376223945452,79.72032128426774,88.1594688485944,26.5156395159693,23.103715869468722
dataset/train\downdog\00000138.jpg,downdog,1.8640472255325695,97.1810379213539,175.66803138572047,164.83697593301665,101.69578657870854,179.63627315050212,156.06851387338824,,,,,139.76573448115477,39.31798122992876,170.48969526655532,172.47142677558568,146.78322232958143,155.63482754065478,143.66059517561004,162.64923831832593,32.5728017961024,15.698722151657426,,,43.94911442693151,135.53352487706553,174.46133387498253,172.26663564108964,162.27673578430904,168.93918384265066,76.98227040581347,79.98931480399922,28.18718858352562,31.281398887536124
dataset/train\downdog\00000139.jpg,downdog,2.083525923933287,123.24806501609547,176.2541406291155,154.22828264806012,114.03492686735021,166.8779880082605,170.94498455069905,,,,,162.9788148566974,22.04687681768262,170.69693787728895,175.18554275537576,168.79453747160227,150.09050702304322,126.26073090264106,145.12427924469796,42.21315665182654,30.820038547959452,,,100.59581179733287,78.48689623770099,177.83303827431013,173.46380005774384,161.69413574659833,168.0254425117643,59.79118352038524,67.83955678489531,26.285933484886016,29.352699381867907
